,Num. Errors,Accuracy,AUROC,AUPRC,Bal. Accuracy,Time
"{'T': 16, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.0001}",404.80(10.38),47.29(1.35),53.29(0.60),41.06(0.72),51.05(1.08),0.17(0.00)
"{'T': 16, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 1, 'beta2': 0.01}",369.80(24.77),51.85(3.23),47.86(2.32),36.46(1.69),48.25(2.45),0.20(0.03)
"{'T': 16, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.0001, 'beta1': 1, 'beta2': 1}",269.80(1.64),64.87(0.21),nan(nan),nan(nan),50.17(0.25),0.17(0.00)
"{'T': 16, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.0001}",288.60(28.70),62.42(3.74),nan(nan),nan(nan),49.57(0.75),0.17(0.00)
"{'T': 16, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 0.01}",294.00(37.66),61.72(4.90),45.29(nan),34.77(nan),49.11(1.62),0.17(0.00)
"{'T': 16, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.0001, 'beta2': 1}",268.80(1.10),65.00(0.14),nan(nan),nan(nan),50.04(0.18),0.17(0.00)
"{'T': 16, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.0001}",292.00(35.99),61.98(4.69),nan(nan),nan(nan),49.30(1.25),0.17(0.00)
"{'T': 16, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 0.01}",293.20(36.96),61.82(4.81),45.06(nan),34.32(nan),49.23(1.58),0.17(0.00)
"{'T': 16, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 0.01, 'beta2': 1}",268.80(1.10),65.00(0.14),nan(nan),nan(nan),50.04(0.18),0.17(0.00)
"{'T': 16, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 1, 'beta2': 0.0001}",370.40(13.30),51.77(1.73),49.11(1.74),36.18(1.37),49.51(1.42),0.17(0.00)
"{'T': 16, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 1, 'beta2': 0.01}",364.20(13.70),52.58(1.78),50.76(1.54),36.77(1.27),50.68(1.58),0.17(0.00)
"{'T': 16, 'gamma': 1, 'alpha': 0.01, 'beta0': 0.01, 'beta1': 1, 'beta2': 1}",268.60(1.52),65.03(0.20),nan(nan),nan(nan),50.17(0.20),0.17(0.00)
"{'T': 16, 'gamma': 1, 'alpha': 0.01, 'beta0': 1, 'beta1': 0.0001, 'beta2': 0.0001}",269.00(0.00),64.97(0.00),nan(nan),nan(nan),49.99(0.00),0.17(0.00)
